description;Thickness;Sat;FC;WP;Ksat;Penetrability;Gravel;CRa;CRb;CN;readily evaporable water
Sand;4;36;13;6;3000;100;0;-0.3412;0.440738;46;4
Loamysand;4;38;16;8;2200;100;0;-0.3332;0.365805;46;5
Sandyloam;4;41;22;10;1200;100;0;-0.3232;0.219363;46;7
Loam;4;46;31;15;500;100;0;-0.4536;0.83734;61;9
Siltloam;4;46;33;13;575;100;0;-0.44685;0.904118;61;11
Silt;4;43;33;9;500;100;0;-0.4536;0.83734;61;11
Sandyclayloam;4;47;32;20;225;100;0;-0.5767;-0.511485;72;9
Clayloam;4;50;39;23;125;100;0;-0.5727;-0.859573;72;11
Siltyclayloam;4;52;44;23;150;100;0;-0.5166;1.622512;72;13
Sandyclay;4;50;39;27;35;100;0;-0.5691;-1.613423;77;10
Siltyclay;4;54;50;32;100;100;0;-0.5566;1.336132;72;14
Clay;4;55;54;39;35;100;0;-0.6086;0.594642;77;14
